Totales Territoriales;Comunidades y Ciudades Autónomas;Divisiones COICOP;Periodo;Total
Total Nacional;03 Asturias, Principado de;06. Salud;2017;644.460
Total Nacional;03 Asturias, Principado de;06. Salud;2016;649.297
Total Nacional;03 Asturias, Principado de;06. Salud;2015;588.273
Total Nacional;03 Asturias, Principado de;06. Salud;2014;586.828
Total Nacional;03 Asturias, Principado de;07. Transporte;2020;1.241.120
Total Nacional;03 Asturias, Principado de;07. Transporte;2019;1.673.810
Total Nacional;03 Asturias, Principado de;07. Transporte;2018;1.742.512
Total Nacional;03 Asturias, Principado de;07. Transporte;2017;1.702.527
Total Nacional;03 Asturias, Principado de;07. Transporte;2016;1.589.426
Total Nacional;03 Asturias, Principado de;07. Transporte;2015;1.651.926
Total Nacional;03 Asturias, Principado de;07. Transporte;2014;1.609.772
Total Nacional;03 Asturias, Principado de;08. Comunicaciones;2020;412.226
Total Nacional;03 Asturias, Principado de;08. Comunicaciones;2019;428.255
Total Nacional;03 Asturias, Principado de;08. Comunicaciones;2018;442.247
Total Nacional;03 Asturias, Principado de;08. Comunicaciones;2017;431.383
Total Nacional;03 Asturias, Principado de;08. Comunicaciones;2016;413.765
Total Nacional;03 Asturias, Principado de;08. Comunicaciones;2015;374.954
Total Nacional;03 Asturias, Principado de;08. Comunicaciones;2014;363.148
Total Nacional;03 Asturias, Principado de;09. Ocio, espectáculos y cultura;2020;684.521
Total Nacional;03 Asturias, Principado de;09. Ocio, espectáculos y cultura;2019;1.063.538
Total Nacional;03 Asturias, Principado de;09. Ocio, espectáculos y cultura;2018;1.081.414
Total Nacional;03 Asturias, Principado de;09. Ocio, espectáculos y cultura;2017;1.094.767
Total Nacional;03 Asturias, Principado de;09. Ocio, espectáculos y cultura;2016;1.081.204
Total Nacional;03 Asturias, Principado de;09. Ocio, espectáculos y cultura;2015;1.033.022
Total Nacional;03 Asturias, Principado de;09. Ocio, espectáculos y cultura;2014;946.709
Total Nacional;03 Asturias, Principado de;10. Educación;2020;160.220
Total Nacional;03 Asturias, Principado de;10. Educación;2019;169.905
Total Nacional;03 Asturias, Principado de;10. Educación;2018;170.637
Total Nacional;03 Asturias, Principado de;10. Educación;2017;170.787
Total Nacional;03 Asturias, Principado de;10. Educación;2016;168.603
Total Nacional;03 Asturias, Principado de;10. Educación;2015;164.029
Total Nacional;03 Asturias, Principado de;10. Educación;2014;167.278
Total Nacional;03 Asturias, Principado de;11. Hoteles, cafés y restaurantes;2020;1.255.419
Total Nacional;03 Asturias, Principado de;11. Hoteles, cafés y restaurantes;2019;2.200.119
Total Nacional;03 Asturias, Principado de;11. Hoteles, cafés y restaurantes;2018;2.071.187
Total Nacional;03 Asturias, Principado de;11. Hoteles, cafés y restaurantes;2017;2.064.594
Total Nacional;03 Asturias, Principado de;11. Hoteles, cafés y restaurantes;2016;1.920.194
Total Nacional;03 Asturias, Principado de;11. Hoteles, cafés y restaurantes;2015;1.955.913
Total Nacional;03 Asturias, Principado de;11. Hoteles, cafés y restaurantes;2014;1.729.836
Total Nacional;03 Asturias, Principado de;12. Otros bienes y servicios;2020;1.258.821
Total Nacional;03 Asturias, Principado de;12. Otros bienes y servicios;2019;1.351.967
Total Nacional;03 Asturias, Principado de;12. Otros bienes y servicios;2018;1.357.291
Total Nacional;03 Asturias, Principado de;12. Otros bienes y servicios;2017;1.328.554
Total Nacional;03 Asturias, Principado de;12. Otros bienes y servicios;2016;1.281.880
Total Nacional;03 Asturias, Principado de;12. Otros bienes y servicios;2015;1.261.120
Total Nacional;03 Asturias, Principado de;12. Otros bienes y servicios;2014;1.199.699
Total Nacional;03 Asturias, Principado de;Total gasto en consumo final de los hogares interior;2020;13.407.790
Total Nacional;03 Asturias, Principado de;Total gasto en consumo final de los hogares interior;2019;15.446.760
Total Nacional;03 Asturias, Principado de;Total gasto en consumo final de los hogares interior;2018;15.349.879
Total Nacional;03 Asturias, Principado de;Total gasto en consumo final de los hogares interior;2017;15.196.927
Total Nacional;03 Asturias, Principado de;Total gasto en consumo final de los hogares interior;2016;14.802.818
Total Nacional;03 Asturias, Principado de;Total gasto en consumo final de los hogares interior;2015;14.733.061
Total Nacional;03 Asturias, Principado de;Total gasto en consumo final de los hogares interior;2014;14.228.336
Total Nacional;03 Asturias, Principado de;P.3. Gasto en consumo final de los hogares;2020;13.250.938
Total Nacional;03 Asturias, Principado de;P.3. Gasto en consumo final de los hogares;2019;15.223.413
Total Nacional;03 Asturias, Principado de;P.3. Gasto en consumo final de los hogares;2018;15.375.979
Total Nacional;03 Asturias, Principado de;P.3. Gasto en consumo final de los hogares;2017;15.115.777
Total Nacional;03 Asturias, Principado de;P.3. Gasto en consumo final de los hogares;2016;14.678.107
Total Nacional;03 Asturias, Principado de;P.3. Gasto en consumo final de los hogares;2015;14.420.717
Total Nacional;03 Asturias, Principado de;P.3. Gasto en consumo final de los hogares;2014;14.179.547
Total Nacional;03 Asturias, Principado de;P.4. Consumo final efectivo de los hogares;2020;16.879.116
Total Nacional;03 Asturias, Principado de;P.4. Consumo final efectivo de los hogares;2019;18.668.414
Total Nacional;03 Asturias, Principado de;P.4. Consumo final efectivo de los hogares;2018;18.694.316
Total Nacional;03 Asturias, Principado de;P.4. Consumo final efectivo de los hogares;2017;18.365.410
Total Nacional;03 Asturias, Principado de;P.4. Consumo final efectivo de los hogares;2016;17.859.651
Total Nacional;03 Asturias, Principado de;P.4. Consumo final efectivo de los hogares;2015;17.554.235
Total Nacional;03 Asturias, Principado de;P.4. Consumo final efectivo de los hogares;2014;17.194.667
Total Nacional;04 Balears, Illes;01. Alimentos y bebidas no alcohólicas;2020;2.574.036
Total Nacional;04 Balears, Illes;01. Alimentos y bebidas no alcohólicas;2019;2.642.801
Total Nacional;04 Balears, Illes;01. Alimentos y bebidas no alcohólicas;2018;2.550.025
Total Nacional;04 Balears, Illes;01. Alimentos y bebidas no alcohólicas;2017;2.491.321
Total Nacional;04 Balears, Illes;01. Alimentos y bebidas no alcohólicas;2016;2.367.729
Total Nacional;04 Balears, Illes;01. Alimentos y bebidas no alcohólicas;2015;2.326.487
Total Nacional;04 Balears, Illes;01. Alimentos y bebidas no alcohólicas;2014;2.297.564
Total Nacional;04 Balears, Illes;02. Bebidas alcohólicas, tabaco y narcóticos;2020;848.782
Total Nacional;04 Balears, Illes;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.025.226
Total Nacional;04 Balears, Illes;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.031.567
Total Nacional;04 Balears, Illes;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.029.033
Total Nacional;04 Balears, Illes;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.031.710
Total Nacional;04 Balears, Illes;02. Bebidas alcohólicas, tabaco y narcóticos;2015;952.269
Total Nacional;04 Balears, Illes;02. Bebidas alcohólicas, tabaco y narcóticos;2014;930.011
Total Nacional;04 Balears, Illes;03. Artículos de vestir y calzado;2020;565.231
Total Nacional;04 Balears, Illes;03. Artículos de vestir y calzado;2019;1.272.631
Total Nacional;04 Balears, Illes;03. Artículos de vestir y calzado;2018;1.254.466
Total Nacional;04 Balears, Illes;03. Artículos de vestir y calzado;2017;1.239.670
Total Nacional;04 Balears, Illes;03. Artículos de vestir y calzado;2016;1.159.254
Total Nacional;04 Balears, Illes;03. Artículos de vestir y calzado;2015;1.055.441
Total Nacional;04 Balears, Illes;03. Artículos de vestir y calzado;2014;1.031.002
Total Nacional;04 Balears, Illes;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;5.164.085
Total Nacional;04 Balears, Illes;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;5.350.257
Total Nacional;04 Balears, Illes;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;5.194.781
Total Nacional;04 Balears, Illes;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;5.006.418
Total Nacional;04 Balears, Illes;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;4.826.227
Total Nacional;04 Balears, Illes;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;4.732.425
Total Nacional;04 Balears, Illes;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;4.733.874
Total Nacional;04 Balears, Illes;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;802.056
Total Nacional;04 Balears, Illes;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.071.546
Total Nacional;04 Balears, Illes;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.093.431
Total Nacional;04 Balears, Illes;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.139.538
Total Nacional;04 Balears, Illes;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.053.722
Total Nacional;04 Balears, Illes;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;966.337
Total Nacional;04 Balears, Illes;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;944.668
Total Nacional;04 Balears, Illes;06. Salud;2020;687.799
Total Nacional;04 Balears, Illes;06. Salud;2019;742.887
Total Nacional;04 Balears, Illes;06. Salud;2018;857.914
Total Nacional;04 Balears, Illes;06. Salud;2017;806.187
Total Nacional;04 Balears, Illes;06. Salud;2016;758.451
Total Nacional;04 Balears, Illes;06. Salud;2015;736.860
Total Nacional;04 Balears, Illes;06. Salud;2014;714.423
Total Nacional;04 Balears, Illes;07. Transporte;2020;1.929.779
Total Nacional;04 Balears, Illes;07. Transporte;2019;3.899.592
Total Nacional;04 Balears, Illes;07. Transporte;2018;3.880.400
Total Nacional;04 Balears, Illes;07. Transporte;2017;3.733.809
Total Nacional;04 Balears, Illes;07. Transporte;2016;3.336.951
Total Nacional;04 Balears, Illes;07. Transporte;2015;3.092.256
Total Nacional;04 Balears, Illes;07. Transporte;2014;2.987.799
Total Nacional;04 Balears, Illes;08. Comunicaciones;2020;519.135
Total Nacional;04 Balears, Illes;08. Comunicaciones;2019;622.502
Total Nacional;04 Balears, Illes;08. Comunicaciones;2018;618.980
Total Nacional;04 Balears, Illes;08. Comunicaciones;2017;605.572
Total Nacional;04 Balears, Illes;08. Comunicaciones;2016;563.893
Total Nacional;04 Balears, Illes;08. Comunicaciones;2015;526.476
Total Nacional;04 Balears, Illes;08. Comunicaciones;2014;510.442
Total Nacional;04 Balears, Illes;09. Ocio, espectáculos y cultura;2020;1.074.109
Total Nacional;04 Balears, Illes;09. Ocio, espectáculos y cultura;2019;2.202.342
Total Nacional;04 Balears, Illes;09. Ocio, espectáculos y cultura;2018;2.085.290
Total Nacional;04 Balears, Illes;09. Ocio, espectáculos y cultura;2017;2.058.181
Total Nacional;04 Balears, Illes;09. Ocio, espectáculos y cultura;2016;1.898.958
Total Nacional;04 Balears, Illes;09. Ocio, espectáculos y cultura;2015;1.767.105
Total Nacional;04 Balears, Illes;09. Ocio, espectáculos y cultura;2014;1.690.630
Total Nacional;04 Balears, Illes;10. Educación;2020;216.283
Total Nacional;04 Balears, Illes;10. Educación;2019;223.629
Total Nacional;04 Balears, Illes;10. Educación;2018;216.944
Total Nacional;04 Balears, Illes;10. Educación;2017;210.544
Total Nacional;04 Balears, Illes;10. Educación;2016;203.183
Total Nacional;04 Balears, Illes;10. Educación;2015;193.201
Total Nacional;04 Balears, Illes;10. Educación;2014;194.104
Total Nacional;04 Balears, Illes;11. Hoteles, cafés y restaurantes;2020;2.253.697
Total Nacional;04 Balears, Illes;11. Hoteles, cafés y restaurantes;2019;7.143.057
Total Nacional;04 Balears, Illes;11. Hoteles, cafés y restaurantes;2018;6.949.827
Total Nacional;04 Balears, Illes;11. Hoteles, cafés y restaurantes;2017;6.847.163
Total Nacional;04 Balears, Illes;11. Hoteles, cafés y restaurantes;2016;6.216.949
Total Nacional;04 Balears, Illes;11. Hoteles, cafés y restaurantes;2015;5.436.356
Total Nacional;04 Balears, Illes;11. Hoteles, cafés y restaurantes;2014;5.009.647
Total Nacional;04 Balears, Illes;12. Otros bienes y servicios;2020;1.879.211
Total Nacional;04 Balears, Illes;12. Otros bienes y servicios;2019;2.330.863
Total Nacional;04 Balears, Illes;12. Otros bienes y servicios;2018;2.249.376
Total Nacional;04 Balears, Illes;12. Otros bienes y servicios;2017;2.143.169
Total Nacional;04 Balears, Illes;12. Otros bienes y servicios;2016;1.956.394
Total Nacional;04 Balears, Illes;12. Otros bienes y servicios;2015;1.720.346
Total Nacional;04 Balears, Illes;12. Otros bienes y servicios;2014;1.652.858
Total Nacional;04 Balears, Illes;Total gasto en consumo final de los hogares interior;2020;18.514.203
Total Nacional;04 Balears, Illes;Total gasto en consumo final de los hogares interior;2019;28.527.333
Total Nacional;04 Balears, Illes;Total gasto en consumo final de los hogares interior;2018;27.983.001
Total Nacional;04 Balears, Illes;Total gasto en consumo final de los hogares interior;2017;27.310.605
Total Nacional;04 Balears, Illes;Total gasto en consumo final de los hogares interior;2016;25.373.421
Total Nacional;04 Balears, Illes;Total gasto en consumo final de los hogares interior;2015;23.505.559
Total Nacional;04 Balears, Illes;Total gasto en consumo final de los hogares interior;2014;22.697.022
Total Nacional;04 Balears, Illes;P.3. Gasto en consumo final de los hogares;2020;17.258.121
Total Nacional;04 Balears, Illes;P.3. Gasto en consumo final de los hogares;2019;19.698.072
Total Nacional;04 Balears, Illes;P.3. Gasto en consumo final de los hogares;2018;19.372.917
Total Nacional;04 Balears, Illes;P.3. Gasto en consumo final de los hogares;2017;18.523.049
Total Nacional;04 Balears, Illes;P.3. Gasto en consumo final de los hogares;2016;17.439.970
Total Nacional;04 Balears, Illes;P.3. Gasto en consumo final de los hogares;2015;16.257.931
Total Nacional;04 Balears, Illes;P.3. Gasto en consumo final de los hogares;2014;15.703.165
Total Nacional;04 Balears, Illes;P.4. Consumo final efectivo de los hogares;2020;21.321.958
Total Nacional;04 Balears, Illes;P.4. Consumo final efectivo de los hogares;2019;23.702.225
Total Nacional;04 Balears, Illes;P.4. Consumo final efectivo de los hogares;2018;23.007.682
Total Nacional;04 Balears, Illes;P.4. Consumo final efectivo de los hogares;2017;21.937.104
Total Nacional;04 Balears, Illes;P.4. Consumo final efectivo de los hogares;2016;20.695.878
Total Nacional;04 Balears, Illes;P.4. Consumo final efectivo de los hogares;2015;19.435.576
Total Nacional;04 Balears, Illes;P.4. Consumo final efectivo de los hogares;2014;18.678.611
Total Nacional;05 Canarias;01. Alimentos y bebidas no alcohólicas;2020;4.344.841
Total Nacional;05 Canarias;01. Alimentos y bebidas no alcohólicas;2019;4.334.425
Total Nacional;05 Canarias;01. Alimentos y bebidas no alcohólicas;2018;4.244.155
Total Nacional;05 Canarias;01. Alimentos y bebidas no alcohólicas;2017;4.045.110
Total Nacional;05 Canarias;01. Alimentos y bebidas no alcohólicas;2016;3.919.666
Total Nacional;05 Canarias;01. Alimentos y bebidas no alcohólicas;2015;3.976.479
Total Nacional;05 Canarias;01. Alimentos y bebidas no alcohólicas;2014;3.889.390
Total Nacional;05 Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.240.864
Total Nacional;05 Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.222.792
Total Nacional;05 Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.173.784
Total Nacional;05 Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.156.792
Total Nacional;05 Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.117.558
Total Nacional;05 Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2015;977.559
Total Nacional;05 Canarias;02. Bebidas alcohólicas, tabaco y narcóticos;2014;1.043.868
Total Nacional;05 Canarias;03. Artículos de vestir y calzado;2020;893.748
Total Nacional;05 Canarias;03. Artículos de vestir y calzado;2019;1.681.858
Total Nacional;05 Canarias;03. Artículos de vestir y calzado;2018;1.683.186
Total Nacional;05 Canarias;03. Artículos de vestir y calzado;2017;1.692.308
Total Nacional;05 Canarias;03. Artículos de vestir y calzado;2016;1.583.170
Total Nacional;05 Canarias;03. Artículos de vestir y calzado;2015;1.438.404
Total Nacional;05 Canarias;03. Artículos de vestir y calzado;2014;1.438.808
Total Nacional;05 Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;5.930.021
Total Nacional;05 Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;6.134.065
Total Nacional;05 Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;6.030.394
Total Nacional;05 Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;5.890.045
Total Nacional;05 Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;5.700.373
Total Nacional;05 Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;5.570.539
Total Nacional;05 Canarias;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;5.558.841
Total Nacional;05 Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;1.146.230
Total Nacional;05 Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.480.655
Total Nacional;05 Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.487.409
Total Nacional;05 Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.507.759
Total Nacional;05 Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.418.411
Total Nacional;05 Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;1.337.083
Total Nacional;05 Canarias;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;1.325.366
Total Nacional;05 Canarias;06. Salud;2020;1.156.763
Total Nacional;05 Canarias;06. Salud;2019;1.262.422
Total Nacional;05 Canarias;06. Salud;2018;1.253.646
Total Nacional;05 Canarias;06. Salud;2017;1.168.157
Total Nacional;05 Canarias;06. Salud;2016;1.089.091
Total Nacional;05 Canarias;06. Salud;2015;1.034.665
Total Nacional;05 Canarias;06. Salud;2014;1.013.080
Total Nacional;05 Canarias;07. Transporte;2020;3.273.641
Total Nacional;05 Canarias;07. Transporte;2019;5.522.467
Total Nacional;05 Canarias;07. Transporte;2018;5.487.154
Total Nacional;05 Canarias;07. Transporte;2017;5.280.537
Total Nacional;05 Canarias;07. Transporte;2016;4.769.676
Total Nacional;05 Canarias;07. Transporte;2015;4.379.101
Total Nacional;05 Canarias;07. Transporte;2014;4.431.146
Total Nacional;05 Canarias;08. Comunicaciones;2020;907.937
Total Nacional;05 Canarias;08. Comunicaciones;2019;1.005.583
Total Nacional;05 Canarias;08. Comunicaciones;2018;995.151
Total Nacional;05 Canarias;08. Comunicaciones;2017;955.101
Total Nacional;05 Canarias;08. Comunicaciones;2016;887.762
Total Nacional;05 Canarias;08. Comunicaciones;2015;816.657
Total Nacional;05 Canarias;08. Comunicaciones;2014;818.148
Total Nacional;05 Canarias;09. Ocio, espectáculos y cultura;2020;1.463.198
Total Nacional;05 Canarias;09. Ocio, espectáculos y cultura;2019;2.724.048
Total Nacional;05 Canarias;09. Ocio, espectáculos y cultura;2018;2.787.609
Total Nacional;05 Canarias;09. Ocio, espectáculos y cultura;2017;2.817.163
Total Nacional;05 Canarias;09. Ocio, espectáculos y cultura;2016;2.680.656
Total Nacional;05 Canarias;09. Ocio, espectáculos y cultura;2015;2.475.422
Total Nacional;05 Canarias;09. Ocio, espectáculos y cultura;2014;2.397.866
Total Nacional;05 Canarias;10. Educación;2020;357.881
Total Nacional;05 Canarias;10. Educación;2019;379.125
Total Nacional;05 Canarias;10. Educación;2018;376.600
Total Nacional;05 Canarias;10. Educación;2017;374.127
Total Nacional;05 Canarias;10. Educación;2016;368.996
Total Nacional;05 Canarias;10. Educación;2015;357.500
Total Nacional;05 Canarias;10. Educación;2014;364.080
Total Nacional;05 Canarias;11. Hoteles, cafés y restaurantes;2020;3.454.091
Total Nacional;05 Canarias;11. Hoteles, cafés y restaurantes;2019;8.696.859
Total Nacional;05 Canarias;11. Hoteles, cafés y restaurantes;2018;8.477.813
Total Nacional;05 Canarias;11. Hoteles, cafés y restaurantes;2017;8.494.366
Total Nacional;05 Canarias;11. Hoteles, cafés y restaurantes;2016;7.729.045
Total Nacional;05 Canarias;11. Hoteles, cafés y restaurantes;2015;6.974.705
Total Nacional;05 Canarias;11. Hoteles, cafés y restaurantes;2014;6.684.795
Total Nacional;05 Canarias;12. Otros bienes y servicios;2020;2.268.695
Total Nacional;05 Canarias;12. Otros bienes y servicios;2019;2.753.596
Total Nacional;05 Canarias;12. Otros bienes y servicios;2018;2.725.350
Total Nacional;05 Canarias;12. Otros bienes y servicios;2017;2.609.123
Total Nacional;05 Canarias;12. Otros bienes y servicios;2016;2.477.193
Total Nacional;05 Canarias;12. Otros bienes y servicios;2015;2.270.008
Total Nacional;05 Canarias;12. Otros bienes y servicios;2014;2.265.602
Total Nacional;05 Canarias;Total gasto en consumo final de los hogares interior;2020;26.437.910
Total Nacional;05 Canarias;Total gasto en consumo final de los hogares interior;2019;37.197.895
Total Nacional;05 Canarias;Total gasto en consumo final de los hogares interior;2018;36.722.251
Total Nacional;05 Canarias;Total gasto en consumo final de los hogares interior;2017;35.990.588
Total Nacional;05 Canarias;Total gasto en consumo final de los hogares interior;2016;33.741.597
Total Nacional;05 Canarias;Total gasto en consumo final de los hogares interior;2015;31.608.122
Total Nacional;05 Canarias;Total gasto en consumo final de los hogares interior;2014;31.230.990
Total Nacional;05 Canarias;P.3. Gasto en consumo final de los hogares;2020;23.471.535
Total Nacional;05 Canarias;P.3. Gasto en consumo final de los hogares;2019;26.205.749
Total Nacional;05 Canarias;P.3. Gasto en consumo final de los hogares;2018;25.668.731
Total Nacional;05 Canarias;P.3. Gasto en consumo final de los hogares;2017;24.890.699
Total Nacional;05 Canarias;P.3. Gasto en consumo final de los hogares;2016;23.552.389
Total Nacional;05 Canarias;P.3. Gasto en consumo final de los hogares;2015;23.004.394
Total Nacional;05 Canarias;P.3. Gasto en consumo final de los hogares;2014;22.081.004
Total Nacional;05 Canarias;P.4. Consumo final efectivo de los hogares;2020;31.302.848
Total Nacional;05 Canarias;P.4. Consumo final efectivo de los hogares;2019;33.915.324
Total Nacional;05 Canarias;P.4. Consumo final efectivo de los hogares;2018;32.705.902
Total Nacional;05 Canarias;P.4. Consumo final efectivo de los hogares;2017;31.449.213
Total Nacional;05 Canarias;P.4. Consumo final efectivo de los hogares;2016;29.771.605
Total Nacional;05 Canarias;P.4. Consumo final efectivo de los hogares;2015;29.034.107
Total Nacional;05 Canarias;P.4. Consumo final efectivo de los hogares;2014;27.929.801
Total Nacional;06 Cantabria;01. Alimentos y bebidas no alcohólicas;2020;1.284.556
Total Nacional;06 Cantabria;01. Alimentos y bebidas no alcohólicas;2019;1.188.003
Total Nacional;06 Cantabria;01. Alimentos y bebidas no alcohólicas;2018;1.187.214
Total Nacional;06 Cantabria;01. Alimentos y bebidas no alcohólicas;2017;1.139.414
Total Nacional;06 Cantabria;01. Alimentos y bebidas no alcohólicas;2016;1.113.834
Total Nacional;06 Cantabria;01. Alimentos y bebidas no alcohólicas;2015;1.141.027
Total Nacional;06 Cantabria;01. Alimentos y bebidas no alcohólicas;2014;1.072.294
Total Nacional;06 Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2020;354.772
Total Nacional;06 Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2019;334.098
Total Nacional;06 Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2018;336.691
Total Nacional;06 Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2017;332.418
Total Nacional;06 Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2016;337.595
Total Nacional;06 Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2015;322.495
Total Nacional;06 Cantabria;02. Bebidas alcohólicas, tabaco y narcóticos;2014;316.457
Total Nacional;06 Cantabria;03. Artículos de vestir y calzado;2020;275.578
Total Nacional;06 Cantabria;03. Artículos de vestir y calzado;2019;397.581
Total Nacional;06 Cantabria;03. Artículos de vestir y calzado;2018;406.384
Total Nacional;06 Cantabria;03. Artículos de vestir y calzado;2017;413.217
Total Nacional;06 Cantabria;03. Artículos de vestir y calzado;2016;421.216
Total Nacional;06 Cantabria;03. Artículos de vestir y calzado;2015;403.073
Total Nacional;06 Cantabria;03. Artículos de vestir y calzado;2014;387.413
Total Nacional;06 Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;2.196.671
Total Nacional;06 Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;2.252.510
Total Nacional;06 Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;2.206.401
Total Nacional;06 Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;2.161.916
Total Nacional;06 Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;2.115.282
Total Nacional;06 Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;2.110.661
Total Nacional;06 Cantabria;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;2.118.424
Total Nacional;06 Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;364.963
Total Nacional;06 Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;413.511
Total Nacional;06 Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;423.330
Total Nacional;06 Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;432.490
Total Nacional;06 Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;419.616
Total Nacional;06 Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;397.219
Total Nacional;06 Cantabria;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;371.753
Total Nacional;06 Cantabria;06. Salud;2020;363.978
Total Nacional;06 Cantabria;06. Salud;2019;372.564
Total Nacional;06 Cantabria;06. Salud;2018;358.015
Total Nacional;06 Cantabria;06. Salud;2017;348.674
Total Nacional;06 Cantabria;06. Salud;2016;371.436
Total Nacional;06 Cantabria;06. Salud;2015;314.470
Total Nacional;06 Cantabria;06. Salud;2014;313.669
Total Nacional;06 Cantabria;07. Transporte;2020;870.564
Total Nacional;06 Cantabria;07. Transporte;2019;1.143.030
Total Nacional;06 Cantabria;07. Transporte;2018;1.155.941
Total Nacional;06 Cantabria;07. Transporte;2017;1.118.248
Total Nacional;06 Cantabria;07. Transporte;2016;1.036.334
Total Nacional;06 Cantabria;07. Transporte;2015;1.091.243
Total Nacional;06 Cantabria;07. Transporte;2014;1.061.206
Total Nacional;06 Cantabria;08. Comunicaciones;2020;217.998
Total Nacional;06 Cantabria;08. Comunicaciones;2019;227.266
Total Nacional;06 Cantabria;08. Comunicaciones;2018;234.409
Total Nacional;06 Cantabria;08. Comunicaciones;2017;226.870
Total Nacional;06 Cantabria;08. Comunicaciones;2016;214.500
Total Nacional;06 Cantabria;08. Comunicaciones;2015;192.561
Total Nacional;06 Cantabria;08. Comunicaciones;2014;192.444
Total Nacional;06 Cantabria;09. Ocio, espectáculos y cultura;2020;402.233
Total Nacional;06 Cantabria;09. Ocio, espectáculos y cultura;2019;609.783
Total Nacional;06 Cantabria;09. Ocio, espectáculos y cultura;2018;613.866
Total Nacional;06 Cantabria;09. Ocio, espectáculos y cultura;2017;599.839
Total Nacional;06 Cantabria;09. Ocio, espectáculos y cultura;2016;582.111
Total Nacional;06 Cantabria;09. Ocio, espectáculos y cultura;2015;573.793
