País de nacimiento;Sexo;Edad;Periodo;Total
Países EFTA;Hombres;59 años;2021;289
Países EFTA;Hombres;60 años;2024;703
Países EFTA;Hombres;60 años;2023;517
Países EFTA;Hombres;60 años;2022;313
Países EFTA;Hombres;60 años;2021;190
Países EFTA;Hombres;61 años;2024;510
Países EFTA;Hombres;61 años;2023;321
Países EFTA;Hombres;61 años;2022;211
Países EFTA;Hombres;61 años;2021;216
Países EFTA;Hombres;62 años;2024;330
Países EFTA;Hombres;62 años;2023;238
Países EFTA;Hombres;62 años;2022;249
Países EFTA;Hombres;62 años;2021;217
Países EFTA;Hombres;63 años;2024;256
Países EFTA;Hombres;63 años;2023;261
Países EFTA;Hombres;63 años;2022;231
Países EFTA;Hombres;63 años;2021;205
Países EFTA;Hombres;64 años;2024;263
Países EFTA;Hombres;64 años;2023;258
Países EFTA;Hombres;64 años;2022;249
Países EFTA;Hombres;64 años;2021;230
Países EFTA;Hombres;65 años;2024;276
Países EFTA;Hombres;65 años;2023;275
Países EFTA;Hombres;65 años;2022;272
Países EFTA;Hombres;65 años;2021;237
Países EFTA;Hombres;66 años;2024;263
Países EFTA;Hombres;66 años;2023;286
Países EFTA;Hombres;66 años;2022;278
Países EFTA;Hombres;66 años;2021;221
Países EFTA;Hombres;67 años;2024;290
Países EFTA;Hombres;67 años;2023;287
Países EFTA;Hombres;67 años;2022;259
Países EFTA;Hombres;67 años;2021;259
Países EFTA;Hombres;68 años;2024;275
Países EFTA;Hombres;68 años;2023;267
Países EFTA;Hombres;68 años;2022;303
Países EFTA;Hombres;68 años;2021;237
Países EFTA;Hombres;69 años;2024;270
Países EFTA;Hombres;69 años;2023;303
Países EFTA;Hombres;69 años;2022;267
Países EFTA;Hombres;69 años;2021;267
Países EFTA;Hombres;70 años;2024;281
Países EFTA;Hombres;70 años;2023;265
Países EFTA;Hombres;70 años;2022;285
Países EFTA;Hombres;70 años;2021;288
Países EFTA;Hombres;71 años;2024;257
Países EFTA;Hombres;71 años;2023;285
Países EFTA;Hombres;71 años;2022;308
Países EFTA;Hombres;71 años;2021;249
Países EFTA;Hombres;72 años;2024;261
Países EFTA;Hombres;72 años;2023;299
Países EFTA;Hombres;72 años;2022;270
Países EFTA;Hombres;72 años;2021;266
Países EFTA;Hombres;73 años;2024;271
Países EFTA;Hombres;73 años;2023;262
Países EFTA;Hombres;73 años;2022;280
Países EFTA;Hombres;73 años;2021;278
Países EFTA;Hombres;74 años;2024;224
Países EFTA;Hombres;74 años;2023;272
Países EFTA;Hombres;74 años;2022;281
Países EFTA;Hombres;74 años;2021;251
Países EFTA;Hombres;75 años;2024;233
Países EFTA;Hombres;75 años;2023;273
Países EFTA;Hombres;75 años;2022;263
Países EFTA;Hombres;75 años;2021;264
Países EFTA;Hombres;76 años;2024;248
Países EFTA;Hombres;76 años;2023;254
Países EFTA;Hombres;76 años;2022;254
Países EFTA;Hombres;76 años;2021;267
Países EFTA;Hombres;77 años;2024;226
Países EFTA;Hombres;77 años;2023;238
Países EFTA;Hombres;77 años;2022;262
Países EFTA;Hombres;77 años;2021;209
Países EFTA;Hombres;78 años;2024;207
Países EFTA;Hombres;78 años;2023;245
Países EFTA;Hombres;78 años;2022;219
Países EFTA;Hombres;78 años;2021;205
Países EFTA;Hombres;79 años;2024;218
Países EFTA;Hombres;79 años;2023;217
Países EFTA;Hombres;79 años;2022;211
Países EFTA;Hombres;79 años;2021;195
Países EFTA;Hombres;80 años;2024;189
Países EFTA;Hombres;80 años;2023;195
Países EFTA;Hombres;80 años;2022;191
Países EFTA;Hombres;80 años;2021;168
Países EFTA;Hombres;81 años;2024;162
Países EFTA;Hombres;81 años;2023;179
Países EFTA;Hombres;81 años;2022;170
Países EFTA;Hombres;81 años;2021;147
Países EFTA;Hombres;82 años;2024;156
Países EFTA;Hombres;82 años;2023;152
Países EFTA;Hombres;82 años;2022;140
Países EFTA;Hombres;82 años;2021;114
Países EFTA;Hombres;83 años;2024;123
Países EFTA;Hombres;83 años;2023;131
Países EFTA;Hombres;83 años;2022;116
Países EFTA;Hombres;83 años;2021;110
Países EFTA;Hombres;84 años;2024;114
Países EFTA;Hombres;84 años;2023;101
Países EFTA;Hombres;84 años;2022;103
Países EFTA;Hombres;84 años;2021;112
Países EFTA;Hombres;85 años;2024;88
Países EFTA;Hombres;85 años;2023;87
Países EFTA;Hombres;85 años;2022;106
Países EFTA;Hombres;85 años;2021;81
Países EFTA;Hombres;86 años;2024;69
Países EFTA;Hombres;86 años;2023;89
Países EFTA;Hombres;86 años;2022;68
Países EFTA;Hombres;86 años;2021;61
Países EFTA;Hombres;87 años;2024;64
Países EFTA;Hombres;87 años;2023;57
Países EFTA;Hombres;87 años;2022;58
Países EFTA;Hombres;87 años;2021;47
Países EFTA;Hombres;88 años;2024;49
Países EFTA;Hombres;88 años;2023;44
Países EFTA;Hombres;88 años;2022;43
Países EFTA;Hombres;88 años;2021;53
Países EFTA;Hombres;89 años;2024;35
Países EFTA;Hombres;89 años;2023;36
Países EFTA;Hombres;89 años;2022;51
Países EFTA;Hombres;89 años;2021;42
Países EFTA;Hombres;90 años;2024;29
Países EFTA;Hombres;90 años;2023;37
Países EFTA;Hombres;90 años;2022;39
Países EFTA;Hombres;90 años;2021;25
Países EFTA;Hombres;91 años;2024;29
Países EFTA;Hombres;91 años;2023;32
Países EFTA;Hombres;91 años;2022;25
Países EFTA;Hombres;91 años;2021;15
Países EFTA;Hombres;92 años;2024;22
Países EFTA;Hombres;92 años;2023;23
Países EFTA;Hombres;92 años;2022;16
Países EFTA;Hombres;92 años;2021;19
Países EFTA;Hombres;93 años;2024;19
Países EFTA;Hombres;93 años;2023;11
Países EFTA;Hombres;93 años;2022;14
Países EFTA;Hombres;93 años;2021;8
Países EFTA;Hombres;94 años;2024;7
Países EFTA;Hombres;94 años;2023;8
Países EFTA;Hombres;94 años;2022;4
Países EFTA;Hombres;94 años;2021;12
Países EFTA;Hombres;95 años;2024;5
Países EFTA;Hombres;95 años;2023;3
Países EFTA;Hombres;95 años;2022;9
Países EFTA;Hombres;95 años;2021;6
Países EFTA;Hombres;96 años;2024;2
Países EFTA;Hombres;96 años;2023;7
Países EFTA;Hombres;96 años;2022;3
Países EFTA;Hombres;96 años;2021;3
Países EFTA;Hombres;97 años;2024;5
Países EFTA;Hombres;97 años;2023;1
Países EFTA;Hombres;97 años;2022;4
Países EFTA;Hombres;97 años;2021;4
Países EFTA;Hombres;98 años;2024;1
Países EFTA;Hombres;98 años;2023;3
Países EFTA;Hombres;98 años;2022;3
Países EFTA;Hombres;98 años;2021;1
Países EFTA;Hombres;99 años;2024;2
Países EFTA;Hombres;99 años;2023;3
Países EFTA;Hombres;99 años;2022;1
Países EFTA;Hombres;99 años;2021;0
Países EFTA;Hombres;100 y más años;2024;2
Países EFTA;Hombres;100 y más años;2023;1
Países EFTA;Hombres;100 y más años;2022;1
Países EFTA;Hombres;100 y más años;2021;1
Países EFTA;Mujeres;Todas las edades;2024;36.539
Países EFTA;Mujeres;Todas las edades;2023;36.650
Países EFTA;Mujeres;Todas las edades;2022;36.261
Países EFTA;Mujeres;Todas las edades;2021;35.459
Países EFTA;Mujeres;0 años;2024;19
Países EFTA;Mujeres;0 años;2023;21
Países EFTA;Mujeres;0 años;2022;18
Países EFTA;Mujeres;0 años;2021;14
Países EFTA;Mujeres;1 año;2024;69
Países EFTA;Mujeres;1 año;2023;67
Países EFTA;Mujeres;1 año;2022;52
Países EFTA;Mujeres;1 año;2021;66
Países EFTA;Mujeres;2 años;2024;104
Países EFTA;Mujeres;2 años;2023;89
Países EFTA;Mujeres;2 años;2022;89
Países EFTA;Mujeres;2 años;2021;107
Países EFTA;Mujeres;3 años;2024;111
Países EFTA;Mujeres;3 años;2023;116
Países EFTA;Mujeres;3 años;2022;128
Países EFTA;Mujeres;3 años;2021;126
Países EFTA;Mujeres;4 años;2024;136
Países EFTA;Mujeres;4 años;2023;151
Países EFTA;Mujeres;4 años;2022;157
Países EFTA;Mujeres;4 años;2021;155
Países EFTA;Mujeres;5 años;2024;176
Países EFTA;Mujeres;5 años;2023;176
Países EFTA;Mujeres;5 años;2022;153
Países EFTA;Mujeres;5 años;2021;156
Países EFTA;Mujeres;6 años;2024;206
Países EFTA;Mujeres;6 años;2023;171
Países EFTA;Mujeres;6 años;2022;168
Países EFTA;Mujeres;6 años;2021;132
Países EFTA;Mujeres;7 años;2024;181
Países EFTA;Mujeres;7 años;2023;180
Países EFTA;Mujeres;7 años;2022;148
Países EFTA;Mujeres;7 años;2021;150
Países EFTA;Mujeres;8 años;2024;190
Países EFTA;Mujeres;8 años;2023;151
Países EFTA;Mujeres;8 años;2022;158
Países EFTA;Mujeres;8 años;2021;126
Países EFTA;Mujeres;9 años;2024;162
Países EFTA;Mujeres;9 años;2023;166
Países EFTA;Mujeres;9 años;2022;128
Países EFTA;Mujeres;9 años;2021;132
Países EFTA;Mujeres;10 años;2024;175
Países EFTA;Mujeres;10 años;2023;151
Países EFTA;Mujeres;10 años;2022;143
Países EFTA;Mujeres;10 años;2021;119
Países EFTA;Mujeres;11 años;2024;148
Países EFTA;Mujeres;11 años;2023;157
Países EFTA;Mujeres;11 años;2022;132
Países EFTA;Mujeres;11 años;2021;123
Países EFTA;Mujeres;12 años;2024;160
Países EFTA;Mujeres;12 años;2023;136
Países EFTA;Mujeres;12 años;2022;124
Países EFTA;Mujeres;12 años;2021;116
Países EFTA;Mujeres;13 años;2024;137
Países EFTA;Mujeres;13 años;2023;134
Países EFTA;Mujeres;13 años;2022;120
Países EFTA;Mujeres;13 años;2021;123
Países EFTA;Mujeres;14 años;2024;140
Países EFTA;Mujeres;14 años;2023;129
Países EFTA;Mujeres;14 años;2022;129
Países EFTA;Mujeres;14 años;2021;135
Países EFTA;Mujeres;15 años;2024;137
Países EFTA;Mujeres;15 años;2023;130
Países EFTA;Mujeres;15 años;2022;139
Países EFTA;Mujeres;15 años;2021;170
Países EFTA;Mujeres;16 años;2024;131
Países EFTA;Mujeres;16 años;2023;142
Países EFTA;Mujeres;16 años;2022;178
Países EFTA;Mujeres;16 años;2021;161
Países EFTA;Mujeres;17 años;2024;139
Países EFTA;Mujeres;17 años;2023;181
Países EFTA;Mujeres;17 años;2022;173
Países EFTA;Mujeres;17 años;2021;169
Países EFTA;Mujeres;18 años;2024;186
Países EFTA;Mujeres;18 años;2023;182
Países EFTA;Mujeres;18 años;2022;177
Países EFTA;Mujeres;18 años;2021;163
Países EFTA;Mujeres;19 años;2024;195
Países EFTA;Mujeres;19 años;2023;191
Países EFTA;Mujeres;19 años;2022;185
Países EFTA;Mujeres;19 años;2021;189
Países EFTA;Mujeres;20 años;2024;202
Países EFTA;Mujeres;20 años;2023;201
Países EFTA;Mujeres;20 años;2022;193
Países EFTA;Mujeres;20 años;2021;239
Países EFTA;Mujeres;21 años;2024;200
Países EFTA;Mujeres;21 años;2023;213
Países EFTA;Mujeres;21 años;2022;260
Países EFTA;Mujeres;21 años;2021;269
Países EFTA;Mujeres;22 años;2024;233
Países EFTA;Mujeres;22 años;2023;258
Países EFTA;Mujeres;22 años;2022;270
Países EFTA;Mujeres;22 años;2021;293
Países EFTA;Mujeres;23 años;2024;272
Países EFTA;Mujeres;23 años;2023;303
Países EFTA;Mujeres;23 años;2022;319
Países EFTA;Mujeres;23 años;2021;324
Países EFTA;Mujeres;24 años;2024;309
Países EFTA;Mujeres;24 años;2023;356
Países EFTA;Mujeres;24 años;2022;341
Países EFTA;Mujeres;24 años;2021;325
Países EFTA;Mujeres;25 años;2024;364
Países EFTA;Mujeres;25 años;2023;347
Países EFTA;Mujeres;25 años;2022;332
Países EFTA;Mujeres;25 años;2021;384
Países EFTA;Mujeres;26 años;2024;356
Países EFTA;Mujeres;26 años;2023;338
Países EFTA;Mujeres;26 años;2022;389
Países EFTA;Mujeres;26 años;2021;398
Países EFTA;Mujeres;27 años;2024;342
Países EFTA;Mujeres;27 años;2023;391
Países EFTA;Mujeres;27 años;2022;412
Países EFTA;Mujeres;27 años;2021;438
Países EFTA;Mujeres;28 años;2024;379
Países EFTA;Mujeres;28 años;2023;413
Países EFTA;Mujeres;28 años;2022;437
Países EFTA;Mujeres;28 años;2021;503
Países EFTA;Mujeres;29 años;2024;417
Países EFTA;Mujeres;29 años;2023;435
Países EFTA;Mujeres;29 años;2022;515
Países EFTA;Mujeres;29 años;2021;472
Países EFTA;Mujeres;30 años;2024;451
Países EFTA;Mujeres;30 años;2023;520
Países EFTA;Mujeres;30 años;2022;484
Países EFTA;Mujeres;30 años;2021;538
Países EFTA;Mujeres;31 años;2024;506
Países EFTA;Mujeres;31 años;2023;489
Países EFTA;Mujeres;31 años;2022;542
Países EFTA;Mujeres;31 años;2021;540
Países EFTA;Mujeres;32 años;2024;490
Países EFTA;Mujeres;32 años;2023;547
Países EFTA;Mujeres;32 años;2022;545
Países EFTA;Mujeres;32 años;2021;518
Países EFTA;Mujeres;33 años;2024;549
Países EFTA;Mujeres;33 años;2023;546
Países EFTA;Mujeres;33 años;2022;507
Países EFTA;Mujeres;33 años;2021;470
Países EFTA;Mujeres;34 años;2024;545
Países EFTA;Mujeres;34 años;2023;513
Países EFTA;Mujeres;34 años;2022;462
Países EFTA;Mujeres;34 años;2021;427
Países EFTA;Mujeres;35 años;2024;515
Países EFTA;Mujeres;35 años;2023;467
Países EFTA;Mujeres;35 años;2022;419
Países EFTA;Mujeres;35 años;2021;487
Países EFTA;Mujeres;36 años;2024;473
Países EFTA;Mujeres;36 años;2023;430
Países EFTA;Mujeres;36 años;2022;487
Países EFTA;Mujeres;36 años;2021;493
Países EFTA;Mujeres;37 años;2024;436
Países EFTA;Mujeres;37 años;2023;488
Países EFTA;Mujeres;37 años;2022;500
Países EFTA;Mujeres;37 años;2021;519
Países EFTA;Mujeres;38 años;2024;494
Países EFTA;Mujeres;38 años;2023;508
Países EFTA;Mujeres;38 años;2022;519
Países EFTA;Mujeres;38 años;2021;594
Países EFTA;Mujeres;39 años;2024;503
Países EFTA;Mujeres;39 años;2023;530
Países EFTA;Mujeres;39 años;2022;590
Países EFTA;Mujeres;39 años;2021;531
Países EFTA;Mujeres;40 años;2024;542
Países EFTA;Mujeres;40 años;2023;595
Países EFTA;Mujeres;40 años;2022;536
Países EFTA;Mujeres;40 años;2021;552
Países EFTA;Mujeres;41 años;2024;610
Países EFTA;Mujeres;41 años;2023;548
Países EFTA;Mujeres;41 años;2022;556
Países EFTA;Mujeres;41 años;2021;598
Países EFTA;Mujeres;42 años;2024;546
Países EFTA;Mujeres;42 años;2023;561
Países EFTA;Mujeres;42 años;2022;605
Países EFTA;Mujeres;42 años;2021;631
Países EFTA;Mujeres;43 años;2024;561
Países EFTA;Mujeres;43 años;2023;608
Países EFTA;Mujeres;43 años;2022;640
Países EFTA;Mujeres;43 años;2021;697
Países EFTA;Mujeres;44 años;2024;616
Países EFTA;Mujeres;44 años;2023;632
Países EFTA;Mujeres;44 años;2022;699
Países EFTA;Mujeres;44 años;2021;827
Países EFTA;Mujeres;45 años;2024;640
Países EFTA;Mujeres;45 años;2023;703
Países EFTA;Mujeres;45 años;2022;828
Países EFTA;Mujeres;45 años;2021;1.001
Países EFTA;Mujeres;46 años;2024;709
Países EFTA;Mujeres;46 años;2023;831
Países EFTA;Mujeres;46 años;2022;1.010
Países EFTA;Mujeres;46 años;2021;1.230
Países EFTA;Mujeres;47 años;2024;828
Países EFTA;Mujeres;47 años;2023;1.016
Países EFTA;Mujeres;47 años;2022;1.232
Países EFTA;Mujeres;47 años;2021;1.254
Países EFTA;Mujeres;48 años;2024;1.018
Países EFTA;Mujeres;48 años;2023;1.249
Países EFTA;Mujeres;48 años;2022;1.262
Países EFTA;Mujeres;48 años;2021;1.205
Países EFTA;Mujeres;49 años;2024;1.241
Países EFTA;Mujeres;49 años;2023;1.262
Países EFTA;Mujeres;49 años;2022;1.212
Países EFTA;Mujeres;49 años;2021;1.182
Países EFTA;Mujeres;50 años;2024;1.269
Países EFTA;Mujeres;50 años;2023;1.218
Países EFTA;Mujeres;50 años;2022;1.185
Países EFTA;Mujeres;50 años;2021;1.142
Países EFTA;Mujeres;51 años;2024;1.222
Países EFTA;Mujeres;51 años;2023;1.201
Países EFTA;Mujeres;51 años;2022;1.152
Países EFTA;Mujeres;51 años;2021;1.069
Países EFTA;Mujeres;52 años;2024;1.198
Países EFTA;Mujeres;52 años;2023;1.147
Países EFTA;Mujeres;52 años;2022;1.076
Países EFTA;Mujeres;52 años;2021;978
Países EFTA;Mujeres;53 años;2024;1.149
Países EFTA;Mujeres;53 años;2023;1.081
Países EFTA;Mujeres;53 años;2022;1.000
Países EFTA;Mujeres;53 años;2021;980
Países EFTA;Mujeres;54 años;2024;1.075
Países EFTA;Mujeres;54 años;2023;998
Países EFTA;Mujeres;54 años;2022;988
Países EFTA;Mujeres;54 años;2021;934
Países EFTA;Mujeres;55 años;2024;976
Países EFTA;Mujeres;55 años;2023;983
Países EFTA;Mujeres;55 años;2022;950
Países EFTA;Mujeres;55 años;2021;923
Países EFTA;Mujeres;56 años;2024;995
Países EFTA;Mujeres;56 años;2023;962
Países EFTA;Mujeres;56 años;2022;939
Países EFTA;Mujeres;56 años;2021;859
Países EFTA;Mujeres;57 años;2024;960
Países EFTA;Mujeres;57 años;2023;951
Países EFTA;Mujeres;57 años;2022;870
Países EFTA;Mujeres;57 años;2021;736
Países EFTA;Mujeres;58 años;2024;951
Países EFTA;Mujeres;58 años;2023;875
Países EFTA;Mujeres;58 años;2022;749
Países EFTA;Mujeres;58 años;2021;498
Países EFTA;Mujeres;59 años;2024;884
Países EFTA;Mujeres;59 años;2023;763
Países EFTA;Mujeres;59 años;2022;513
Países EFTA;Mujeres;59 años;2021;333
Países EFTA;Mujeres;60 años;2024;773
Países EFTA;Mujeres;60 años;2023;515
Países EFTA;Mujeres;60 años;2022;357
Países EFTA;Mujeres;60 años;2021;254
Países EFTA;Mujeres;61 años;2024;510
Países EFTA;Mujeres;61 años;2023;363
Países EFTA;Mujeres;61 años;2022;272
Países EFTA;Mujeres;61 años;2021;266
Países EFTA;Mujeres;62 años;2024;367
Países EFTA;Mujeres;62 años;2023;276
Países EFTA;Mujeres;62 años;2022;280
Países EFTA;Mujeres;62 años;2021;241
Países EFTA;Mujeres;63 años;2024;287
Países EFTA;Mujeres;63 años;2023;288
Países EFTA;Mujeres;63 años;2022;265
Países EFTA;Mujeres;63 años;2021;250
Países EFTA;Mujeres;64 años;2024;289
Países EFTA;Mujeres;64 años;2023;279
Países EFTA;Mujeres;64 años;2022;274
Países EFTA;Mujeres;64 años;2021;236
Países EFTA;Mujeres;65 años;2024;266
Países EFTA;Mujeres;65 años;2023;281
Países EFTA;Mujeres;65 años;2022;271
Países EFTA;Mujeres;65 años;2021;248
Países EFTA;Mujeres;66 años;2024;283
Países EFTA;Mujeres;66 años;2023;278
Países EFTA;Mujeres;66 años;2022;271
Países EFTA;Mujeres;66 años;2021;251
Países EFTA;Mujeres;67 años;2024;266
Países EFTA;Mujeres;67 años;2023;279
Países EFTA;Mujeres;67 años;2022;279
Países EFTA;Mujeres;67 años;2021;304
Países EFTA;Mujeres;68 años;2024;268
Países EFTA;Mujeres;68 años;2023;285
Países EFTA;Mujeres;68 años;2022;316
Países EFTA;Mujeres;68 años;2021;300
Países EFTA;Mujeres;69 años;2024;283
Países EFTA;Mujeres;69 años;2023;314
Países EFTA;Mujeres;69 años;2022;329
Países EFTA;Mujeres;69 años;2021;292
Países EFTA;Mujeres;70 años;2024;299
Países EFTA;Mujeres;70 años;2023;317
Países EFTA;Mujeres;70 años;2022;315
Países EFTA;Mujeres;70 años;2021;274
Países EFTA;Mujeres;71 años;2024;300
Países EFTA;Mujeres;71 años;2023;303
Países EFTA;Mujeres;71 años;2022;271
Países EFTA;Mujeres;71 años;2021;291
Países EFTA;Mujeres;72 años;2024;279
Países EFTA;Mujeres;72 años;2023;270
Países EFTA;Mujeres;72 años;2022;301
Países EFTA;Mujeres;72 años;2021;260
Países EFTA;Mujeres;73 años;2024;261
Países EFTA;Mujeres;73 años;2023;294
Países EFTA;Mujeres;73 años;2022;303
Países EFTA;Mujeres;73 años;2021;309
Países EFTA;Mujeres;74 años;2024;259
Países EFTA;Mujeres;74 años;2023;297
Países EFTA;Mujeres;74 años;2022;317
Países EFTA;Mujeres;74 años;2021;306
Países EFTA;Mujeres;75 años;2024;251
Países EFTA;Mujeres;75 años;2023;309
Países EFTA;Mujeres;75 años;2022;309
Países EFTA;Mujeres;75 años;2021;284
Países EFTA;Mujeres;76 años;2024;284
Países EFTA;Mujeres;76 años;2023;285
Países EFTA;Mujeres;76 años;2022;288
Países EFTA;Mujeres;76 años;2021;318
Países EFTA;Mujeres;77 años;2024;253
Países EFTA;Mujeres;77 años;2023;272
Países EFTA;Mujeres;77 años;2022;336
Países EFTA;Mujeres;77 años;2021;262
Países EFTA;Mujeres;78 años;2024;257
Países EFTA;Mujeres;78 años;2023;309
Países EFTA;Mujeres;78 años;2022;255
Países EFTA;Mujeres;78 años;2021;216
Países EFTA;Mujeres;79 años;2024;268
Países EFTA;Mujeres;79 años;2023;253
Países EFTA;Mujeres;79 años;2022;216
Países EFTA;Mujeres;79 años;2021;193
Países EFTA;Mujeres;80 años;2024;219
Países EFTA;Mujeres;80 años;2023;201
Países EFTA;Mujeres;80 años;2022;183
Países EFTA;Mujeres;80 años;2021;160
Países EFTA;Mujeres;81 años;2024;180
Países EFTA;Mujeres;81 años;2023;164
Países EFTA;Mujeres;81 años;2022;149
Países EFTA;Mujeres;81 años;2021;143
Países EFTA;Mujeres;82 años;2024;150
Países EFTA;Mujeres;82 años;2023;134
Países EFTA;Mujeres;82 años;2022;133
Países EFTA;Mujeres;82 años;2021;129
Países EFTA;Mujeres;83 años;2024;118
Países EFTA;Mujeres;83 años;2023;122
Países EFTA;Mujeres;83 años;2022;131
Países EFTA;Mujeres;83 años;2021;119
Países EFTA;Mujeres;84 años;2024;107
Países EFTA;Mujeres;84 años;2023;117
Países EFTA;Mujeres;84 años;2022;119
Países EFTA;Mujeres;84 años;2021;116
Países EFTA;Mujeres;85 años;2024;106
Países EFTA;Mujeres;85 años;2023;109
Países EFTA;Mujeres;85 años;2022;113
Países EFTA;Mujeres;85 años;2021;71
Países EFTA;Mujeres;86 años;2024;84
Países EFTA;Mujeres;86 años;2023;103
Países EFTA;Mujeres;86 años;2022;69
Países EFTA;Mujeres;86 años;2021;69
Países EFTA;Mujeres;87 años;2024;82
Países EFTA;Mujeres;87 años;2023;62
Países EFTA;Mujeres;87 años;2022;71
Países EFTA;Mujeres;87 años;2021;50
Países EFTA;Mujeres;88 años;2024;51
Países EFTA;Mujeres;88 años;2023;62
Países EFTA;Mujeres;88 años;2022;48
Países EFTA;Mujeres;88 años;2021;41
Países EFTA;Mujeres;89 años;2024;44
Países EFTA;Mujeres;89 años;2023;44
Países EFTA;Mujeres;89 años;2022;39
Países EFTA;Mujeres;89 años;2021;38
Países EFTA;Mujeres;90 años;2024;44
Países EFTA;Mujeres;90 años;2023;33
Países EFTA;Mujeres;90 años;2022;27
Países EFTA;Mujeres;90 años;2021;38
Países EFTA;Mujeres;91 años;2024;27
Países EFTA;Mujeres;91 años;2023;23
Países EFTA;Mujeres;91 años;2022;39
Países EFTA;Mujeres;91 años;2021;32
Países EFTA;Mujeres;92 años;2024;20
Países EFTA;Mujeres;92 años;2023;34
Países EFTA;Mujeres;92 años;2022;26
Países EFTA;Mujeres;92 años;2021;22
Países EFTA;Mujeres;93 años;2024;26
Países EFTA;Mujeres;93 años;2023;17
Países EFTA;Mujeres;93 años;2022;17
Países EFTA;Mujeres;93 años;2021;11
Países EFTA;Mujeres;94 años;2024;12
Países EFTA;Mujeres;94 años;2023;16
Países EFTA;Mujeres;94 años;2022;10
Países EFTA;Mujeres;94 años;2021;13
Países EFTA;Mujeres;95 años;2024;9
Países EFTA;Mujeres;95 años;2023;10
Países EFTA;Mujeres;95 años;2022;10
Países EFTA;Mujeres;95 años;2021;8
Países EFTA;Mujeres;96 años;2024;6
Países EFTA;Mujeres;96 años;2023;12
Países EFTA;Mujeres;96 años;2022;8
Países EFTA;Mujeres;96 años;2021;7
Países EFTA;Mujeres;97 años;2024;7
Países EFTA;Mujeres;97 años;2023;6
Países EFTA;Mujeres;97 años;2022;7
Países EFTA;Mujeres;97 años;2021;6
Países EFTA;Mujeres;98 años;2024;4
Países EFTA;Mujeres;98 años;2023;6
Países EFTA;Mujeres;98 años;2022;5
Países EFTA;Mujeres;98 años;2021;2
Países EFTA;Mujeres;99 años;2024;5
Países EFTA;Mujeres;99 años;2023;4
Países EFTA;Mujeres;99 años;2022;2
Países EFTA;Mujeres;99 años;2021;4
Países EFTA;Mujeres;100 y más años;2024;7
Países EFTA;Mujeres;100 y más años;2023;6
Países EFTA;Mujeres;100 y más años;2022;6
Países EFTA;Mujeres;100 y más años;2021;2
Países miembros de la UE distintos de España;Total;Todas las edades;2024;1.592.472
Países miembros de la UE distintos de España;Total;Todas las edades;2023;1.579.523
Países miembros de la UE distintos de España;Total;Todas las edades;2022;1.556.764
Países miembros de la UE distintos de España;Total;Todas las edades;2021;1.557.666
Países miembros de la UE distintos de España;Total;0 años;2024;719
Países miembros de la UE distintos de España;Total;0 años;2023;706
Países miembros de la UE distintos de España;Total;0 años;2022;607
Países miembros de la UE distintos de España;Total;0 años;2021;426
Países miembros de la UE distintos de España;Total;1 año;2024;2.249
Países miembros de la UE distintos de España;Total;1 año;2023;2.300
Países miembros de la UE distintos de España;Total;1 año;2022;1.803
Países miembros de la UE distintos de España;Total;1 año;2021;1.710
Países miembros de la UE distintos de España;Total;2 años;2024;3.460
Países miembros de la UE distintos de España;Total;2 años;2023;3.061
Países miembros de la UE distintos de España;Total;2 años;2022;2.618
Países miembros de la UE distintos de España;Total;2 años;2021;2.974
Países miembros de la UE distintos de España;Total;3 años;2024;3.918
Países miembros de la UE distintos de España;Total;3 años;2023;3.665
Países miembros de la UE distintos de España;Total;3 años;2022;3.527
Países miembros de la UE distintos de España;Total;3 años;2021;3.753
Países miembros de la UE distintos de España;Total;4 años;2024;4.411
Países miembros de la UE distintos de España;Total;4 años;2023;4.432
Países miembros de la UE distintos de España;Total;4 años;2022;4.199
Países miembros de la UE distintos de España;Total;4 años;2021;4.546
Países miembros de la UE distintos de España;Total;5 años;2024;5.184
Países miembros de la UE distintos de España;Total;5 años;2023;5.008
Países miembros de la UE distintos de España;Total;5 años;2022;4.837
Países miembros de la UE distintos de España;Total;5 años;2021;5.003
Países miembros de la UE distintos de España;Total;6 años;2024;5.604
Países miembros de la UE distintos de España;Total;6 años;2023;5.487
Países miembros de la UE distintos de España;Total;6 años;2022;5.250
Países miembros de la UE distintos de España;Total;6 años;2021;5.366
Países miembros de la UE distintos de España;Total;7 años;2024;5.965
Países miembros de la UE distintos de España;Total;7 años;2023;5.820
Países miembros de la UE distintos de España;Total;7 años;2022;5.477
Países miembros de la UE distintos de España;Total;7 años;2021;5.133
Países miembros de la UE distintos de España;Total;8 años;2024;6.144
Países miembros de la UE distintos de España;Total;8 años;2023;5.933
Países miembros de la UE distintos de España;Total;8 años;2022;5.197
Países miembros de la UE distintos de España;Total;8 años;2021;5.136
Países miembros de la UE distintos de España;Total;9 años;2024;6.294
Países miembros de la UE distintos de España;Total;9 años;2023;5.630
Países miembros de la UE distintos de España;Total;9 años;2022;5.252
Países miembros de la UE distintos de España;Total;9 años;2021;4.978
Países miembros de la UE distintos de España;Total;10 años;2024;6.007
Países miembros de la UE distintos de España;Total;10 años;2023;5.662
Países miembros de la UE distintos de España;Total;10 años;2022;5.101
Países miembros de la UE distintos de España;Total;10 años;2021;5.182
Países miembros de la UE distintos de España;Total;11 años;2024;5.998
